1,9,8,10,2013-10-02 00:00:00
2,2,4,8,2013-10-03 00:00:00
3,7,2,3,2013-10-04 00:00:00
4,7,7,3,2013-10-05 00:00:00
5,6,10,3,2013-10-06 00:00:00
6,9,9,5,2013-10-07 00:00:00
7,9,2,8,2013-10-08 00:00:00
8,8,2,5,2013-10-09 00:00:00
9,1,1,1,2013-10-10 00:00:00
10,1,8,6,2013-10-11 00:00:00
11,2,7,4,2013-10-12 00:00:00
12,7,7,10,2013-10-13 00:00:00
13,3,1,10,2013-10-14 00:00:00
14,6,3,6,2013-10-15 00:00:00
15,2,7,4,2013-10-16 00:00:00
16,5,5,3,2013-10-17 00:00:00
17,10,4,9,2013-10-18 00:00:00
18,7,8,8,2013-10-19 00:00:00
19,7,5,5,2013-10-20 00:00:00
20,1,7,4,2013-10-21 00:00:00
21,9,4,5,2013-10-22 00:00:00
22,6,1,9,2013-10-23 00:00:00
23,6,4,7,2013-10-24 00:00:00
24,8,4,3,2013-10-25 00:00:00
25,4,6,1,2013-10-26 00:00:00
26,2,9,7,2013-10-27 00:00:00
27,4,8,8,2013-10-28 00:00:00
28,4,9,4,2013-10-29 00:00:00
29,2,6,8,2013-10-30 00:00:00
30,8,10,9,2013-10-31 00:00:00
31,7,2,7,2013-11-01 00:00:00
32,4,3,7,2013-10-02 00:00:00
33,10,5,2,2013-10-03 00:00:00
34,9,9,9,2013-10-04 00:00:00
35,3,2,5,2013-10-05 00:00:00
36,2,6,10,2013-10-06 00:00:00
37,7,9,1,2013-10-07 00:00:00
38,7,8,1,2013-10-08 00:00:00
39,8,2,5,2013-10-09 00:00:00
40,9,5,6,2013-10-10 00:00:00
41,9,9,5,2013-10-11 00:00:00
42,8,4,4,2013-10-12 00:00:00
43,3,3,4,2013-10-13 00:00:00
44,8,6,6,2013-10-14 00:00:00
45,6,5,5,2013-10-15 00:00:00
46,8,7,9,2013-10-16 00:00:00
47,6,1,5,2013-10-17 00:00:00
48,1,5,8,2013-10-18 00:00:00
49,1,9,5,2013-10-19 00:00:00
50,3,10,4,2013-10-20 00:00:00
51,8,2,1,2013-10-21 00:00:00
52,3,5,3,2013-10-22 00:00:00
53,6,10,3,2013-10-23 00:00:00
54,9,3,8,2013-10-24 00:00:00
55,7,5,7,2013-10-25 00:00:00
56,6,5,6,2013-10-26 00:00:00
57,4,7,9,2013-10-27 00:00:00
58,7,8,5,2013-10-28 00:00:00
59,2,2,7,2013-10-29 00:00:00
60,4,2,1,2013-10-30 00:00:00
61,4,8,9,2013-10-02 00:00:00
62,10,8,7,2013-10-03 00:00:00
63,9,7,5,2013-10-04 00:00:00
64,4,6,4,2013-10-05 00:00:00
65,4,1,7,2013-10-06 00:00:00
66,10,5,9,2013-10-07 00:00:00
67,4,10,4,2013-10-08 00:00:00
68,6,3,6,2013-10-09 00:00:00
69,7,1,9,2013-10-10 00:00:00
70,3,6,4,2013-10-11 00:00:00
71,8,9,3,2013-10-12 00:00:00
72,8,4,10,2013-10-13 00:00:00
73,4,7,9,2013-10-14 00:00:00
74,4,9,8,2013-10-15 00:00:00
75,10,10,8,2013-10-16 00:00:00
76,8,7,10,2013-10-17 00:00:00
77,5,9,6,2013-10-18 00:00:00
78,8,2,4,2013-10-19 00:00:00
79,10,6,8,2013-10-20 00:00:00
80,1,7,8,2013-10-21 00:00:00
81,3,3,7,2013-10-22 00:00:00
82,6,1,3,2013-10-23 00:00:00
83,3,2,7,2013-10-24 00:00:00
84,10,10,10,2013-10-25 00:00:00
85,3,10,2,2013-10-26 00:00:00
86,8,5,6,2013-10-27 00:00:00
87,2,2,5,2013-10-28 00:00:00
88,5,10,8,2013-10-29 00:00:00
89,5,10,7,2013-10-30 00:00:00
90,4,3,6,2013-10-31 00:00:00
91,6,8,8,2013-11-01 00:00:00
92,9,5,8,2013-10-02 00:00:00
93,3,5,9,2013-10-03 00:00:00
94,8,4,8,2013-10-04 00:00:00
95,4,9,5,2013-10-05 00:00:00
96,9,8,1,2013-10-06 00:00:00
97,9,6,5,2013-10-07 00:00:00
98,2,10,6,2013-10-08 00:00:00
99,6,10,1,2013-10-09 00:00:00
100,7,8,5,2013-10-10 00:00:00
101,6,2,2,2013-10-11 00:00:00
102,10,4,8,2013-10-12 00:00:00
103,1,3,2,2013-10-13 00:00:00
104,10,7,5,2013-10-14 00:00:00
105,3,2,10,2013-10-15 00:00:00
106,4,4,2,2013-10-16 00:00:00
107,7,2,4,2013-10-17 00:00:00
108,6,9,1,2013-10-18 00:00:00
109,9,10,4,2013-10-19 00:00:00
110,9,4,5,2013-10-20 00:00:00
111,5,7,8,2013-10-21 00:00:00
112,2,2,2,2013-10-22 00:00:00
113,3,4,4,2013-10-23 00:00:00
114,7,9,5,2013-10-24 00:00:00
115,8,6,5,2013-10-25 00:00:00
116,6,7,9,2013-10-26 00:00:00
117,9,6,5,2013-10-27 00:00:00
118,5,4,6,2013-10-28 00:00:00
119,9,9,9,2013-10-29 00:00:00
120,9,3,5,2013-10-30 00:00:00
121,7,3,4,2013-10-31 00:00:00
122,3,2,1,2013-10-02 00:00:00
123,4,8,2,2013-10-03 00:00:00
124,1,9,4,2013-10-04 00:00:00
125,3,2,9,2013-10-05 00:00:00
126,1,2,6,2013-10-06 00:00:00
127,1,10,9,2013-10-07 00:00:00
128,3,10,10,2013-10-08 00:00:00
129,5,2,5,2013-10-09 00:00:00
130,3,4,6,2013-10-10 00:00:00
131,5,9,2,2013-10-11 00:00:00
132,10,4,2,2013-10-12 00:00:00
133,7,5,1,2013-10-13 00:00:00
134,4,9,10,2013-10-14 00:00:00
135,10,5,6,2013-10-15 00:00:00
136,5,10,9,2013-10-16 00:00:00
137,1,5,10,2013-10-17 00:00:00
138,4,1,8,2013-10-18 00:00:00
139,10,5,7,2013-10-19 00:00:00
140,3,6,1,2013-10-20 00:00:00
141,4,3,5,2013-10-21 00:00:00
142,9,4,3,2013-10-22 00:00:00
143,8,1,4,2013-10-23 00:00:00
144,8,8,5,2013-10-24 00:00:00
145,8,9,3,2013-10-25 00:00:00
146,7,5,8,2013-10-26 00:00:00
147,9,9,8,2013-10-27 00:00:00
148,6,5,8,2013-10-28 00:00:00
149,4,8,5,2013-10-29 00:00:00
150,3,9,6,2013-10-30 00:00:00
151,10,9,3,2013-10-31 00:00:00
152,9,6,1,2013-11-01 00:00:00
153,7,3,7,2013-10-02 00:00:00
154,6,5,3,2013-10-03 00:00:00
155,2,10,8,2013-10-04 00:00:00
156,9,5,7,2013-10-05 00:00:00
157,7,9,2,2013-10-06 00:00:00
158,4,3,5,2013-10-07 00:00:00
159,1,7,9,2013-10-08 00:00:00
160,10,10,10,2013-10-09 00:00:00
161,10,7,1,2013-10-10 00:00:00
162,8,9,1,2013-10-11 00:00:00
163,10,7,2,2013-10-12 00:00:00
164,5,8,6,2013-10-13 00:00:00
165,5,10,6,2013-10-14 00:00:00
166,5,5,10,2013-10-15 00:00:00
167,5,10,7,2013-10-16 00:00:00
168,9,10,7,2013-10-17 00:00:00
169,9,6,9,2013-10-18 00:00:00
170,1,6,1,2013-10-19 00:00:00
171,3,3,6,2013-10-20 00:00:00
172,4,6,8,2013-10-21 00:00:00
173,4,6,3,2013-10-22 00:00:00
174,9,1,8,2013-10-23 00:00:00
175,4,7,7,2013-10-24 00:00:00
176,6,6,2,2013-10-25 00:00:00
177,10,5,2,2013-10-26 00:00:00
178,9,9,10,2013-10-27 00:00:00
179,9,6,8,2013-10-28 00:00:00
180,10,1,7,2013-10-29 00:00:00
181,4,9,9,2013-10-30 00:00:00
182,4,3,7,2013-10-31 00:00:00
183,3,4,10,2013-10-02 00:00:00
184,5,5,8,2013-10-03 00:00:00
185,9,1,10,2013-10-04 00:00:00
186,10,8,6,2013-10-05 00:00:00
187,4,4,6,2013-10-06 00:00:00
188,3,7,10,2013-10-07 00:00:00
189,3,9,1,2013-10-08 00:00:00
190,5,3,9,2013-10-09 00:00:00
191,8,6,5,2013-10-10 00:00:00
192,7,8,10,2013-10-11 00:00:00
193,6,10,5,2013-10-12 00:00:00
194,8,6,10,2013-10-13 00:00:00
195,6,10,4,2013-10-14 00:00:00
196,9,2,6,2013-10-15 00:00:00
197,5,3,6,2013-10-16 00:00:00
198,6,4,1,2013-10-17 00:00:00
199,2,6,5,2013-10-18 00:00:00
200,5,10,4,2013-10-19 00:00:00
201,7,8,4,2013-10-20 00:00:00
202,1,5,5,2013-10-21 00:00:00
203,8,3,2,2013-10-22 00:00:00
204,3,9,2,2013-10-23 00:00:00
205,7,3,4,2013-10-24 00:00:00
206,5,2,6,2013-10-25 00:00:00
207,1,1,6,2013-10-26 00:00:00
208,10,1,10,2013-10-27 00:00:00
209,4,4,10,2013-10-28 00:00:00
210,10,4,6,2013-10-29 00:00:00
211,3,2,6,2013-10-30 00:00:00
212,9,5,1,2013-10-31 00:00:00
213,3,7,2,2013-11-01 00:00:00
214,7,8,4,2013-10-02 00:00:00
215,4,9,7,2013-10-03 00:00:00
216,3,3,9,2013-10-04 00:00:00
217,5,1,4,2013-10-05 00:00:00
218,10,10,5,2013-10-06 00:00:00
219,9,8,7,2013-10-07 00:00:00
220,3,9,3,2013-10-08 00:00:00
221,5,2,7,2013-10-09 00:00:00
222,9,7,6,2013-10-10 00:00:00
223,10,5,10,2013-10-11 00:00:00
224,2,5,9,2013-10-12 00:00:00
225,7,10,10,2013-10-13 00:00:00
226,9,6,9,2013-10-14 00:00:00
227,7,6,3,2013-10-15 00:00:00
228,2,4,8,2013-10-16 00:00:00
229,3,2,6,2013-10-17 00:00:00
230,5,7,4,2013-10-18 00:00:00
231,9,2,6,2013-10-19 00:00:00
232,5,1,8,2013-10-20 00:00:00
233,8,6,7,2013-10-21 00:00:00
234,6,8,1,2013-10-22 00:00:00
235,10,1,4,2013-10-23 00:00:00
236,6,8,7,2013-10-24 00:00:00
237,9,7,4,2013-10-25 00:00:00
238,9,7,2,2013-10-26 00:00:00
239,9,5,10,2013-10-27 00:00:00
240,5,6,5,2013-10-28 00:00:00
241,5,5,7,2013-10-29 00:00:00
242,8,1,6,2013-10-30 00:00:00
243,1,6,3,2013-10-31 00:00:00
244,1,4,1,2013-11-01 00:00:00
245,10,9,2,2013-10-02 00:00:00
246,3,5,6,2013-10-03 00:00:00
247,4,1,3,2013-10-04 00:00:00
248,9,3,6,2013-10-05 00:00:00
249,2,2,3,2013-10-06 00:00:00
250,8,7,2,2013-10-07 00:00:00
251,4,5,5,2013-10-08 00:00:00
252,1,3,6,2013-10-09 00:00:00
253,3,6,9,2013-10-10 00:00:00
254,8,1,2,2013-10-11 00:00:00
255,9,10,8,2013-10-12 00:00:00
256,3,8,5,2013-10-13 00:00:00
257,3,10,10,2013-10-14 00:00:00
258,3,3,1,2013-10-15 00:00:00
259,9,7,9,2013-10-16 00:00:00
260,6,8,3,2013-10-17 00:00:00
261,2,1,5,2013-10-18 00:00:00
262,10,1,7,2013-10-19 00:00:00
263,10,1,5,2013-10-20 00:00:00
264,5,3,1,2013-10-21 00:00:00
265,1,10,4,2013-10-22 00:00:00
266,7,6,1,2013-10-23 00:00:00
267,6,9,8,2013-10-24 00:00:00
268,7,2,9,2013-10-25 00:00:00
269,7,7,9,2013-10-26 00:00:00
270,6,4,9,2013-10-27 00:00:00
271,6,6,8,2013-10-28 00:00:00
272,7,10,1,2013-10-29 00:00:00
273,9,5,3,2013-10-30 00:00:00
274,2,3,3,2013-10-31 00:00:00
275,10,9,2,2013-10-02 00:00:00
276,9,7,3,2013-10-03 00:00:00
277,10,2,3,2013-10-04 00:00:00
278,4,3,7,2013-10-05 00:00:00
279,3,2,1,2013-10-06 00:00:00
280,10,5,8,2013-10-07 00:00:00
281,3,4,6,2013-10-08 00:00:00
282,2,1,9,2013-10-09 00:00:00
283,7,5,5,2013-10-10 00:00:00
284,4,1,3,2013-10-11 00:00:00
285,1,6,2,2013-10-12 00:00:00
286,9,8,9,2013-10-13 00:00:00
287,8,4,10,2013-10-14 00:00:00
288,3,7,5,2013-10-15 00:00:00
289,9,6,4,2013-10-16 00:00:00
290,3,10,6,2013-10-17 00:00:00
291,9,9,9,2013-10-18 00:00:00
292,1,1,8,2013-10-19 00:00:00
293,9,2,2,2013-10-20 00:00:00
294,5,5,10,2013-10-21 00:00:00
295,6,9,8,2013-10-22 00:00:00
296,4,5,1,2013-10-23 00:00:00
297,8,1,4,2013-10-24 00:00:00
298,2,4,10,2013-10-25 00:00:00
299,8,4,9,2013-10-26 00:00:00
300,2,2,9,2013-10-27 00:00:00
301,9,4,6,2013-10-28 00:00:00
302,4,10,3,2013-10-29 00:00:00
303,1,2,8,2013-10-30 00:00:00
304,2,9,4,2013-10-31 00:00:00
305,9,7,6,2013-11-01 00:00:00
306,9,1,5,2013-10-02 00:00:00
307,3,9,1,2013-10-03 00:00:00
308,2,2,5,2013-10-04 00:00:00
309,3,10,9,2013-10-05 00:00:00
310,2,9,8,2013-10-06 00:00:00
311,4,7,6,2013-10-07 00:00:00
312,7,9,9,2013-10-08 00:00:00
313,3,7,7,2013-10-09 00:00:00
314,6,3,3,2013-10-10 00:00:00
315,1,3,2,2013-10-11 00:00:00
316,6,6,5,2013-10-12 00:00:00
317,5,8,10,2013-10-13 00:00:00
318,5,8,1,2013-10-14 00:00:00
319,4,6,7,2013-10-15 00:00:00
320,6,9,6,2013-10-16 00:00:00
321,1,7,5,2013-10-17 00:00:00
322,5,9,9,2013-10-18 00:00:00
323,2,2,1,2013-10-19 00:00:00
324,5,2,9,2013-10-20 00:00:00
325,4,3,10,2013-10-21 00:00:00
326,1,10,2,2013-10-22 00:00:00
327,5,6,1,2013-10-23 00:00:00
328,3,1,1,2013-10-24 00:00:00
329,6,10,6,2013-10-25 00:00:00
330,5,4,2,2013-10-26 00:00:00
331,5,9,5,2013-10-27 00:00:00
332,3,7,5,2013-10-28 00:00:00
333,8,7,9,2013-10-29 00:00:00
334,9,7,7,2013-10-30 00:00:00
335,5,6,4,2013-10-31 00:00:00
336,1,5,3,2013-10-02 00:00:00
337,9,8,3,2013-10-03 00:00:00
338,10,10,5,2013-10-04 00:00:00
339,7,4,5,2013-10-05 00:00:00
340,5,10,9,2013-10-06 00:00:00
341,2,2,4,2013-10-07 00:00:00
342,1,7,2,2013-10-08 00:00:00
343,5,1,8,2013-10-09 00:00:00
344,1,9,1,2013-10-10 00:00:00
345,7,5,5,2013-10-11 00:00:00
346,4,10,1,2013-10-12 00:00:00
347,9,7,6,2013-10-13 00:00:00
348,8,9,2,2013-10-14 00:00:00
349,2,5,9,2013-10-15 00:00:00
350,4,6,5,2013-10-16 00:00:00
351,10,6,5,2013-10-17 00:00:00
352,4,6,4,2013-10-18 00:00:00
353,6,5,6,2013-10-19 00:00:00
354,4,3,1,2013-10-20 00:00:00
355,2,4,7,2013-10-21 00:00:00
356,6,5,2,2013-10-22 00:00:00
357,2,8,9,2013-10-23 00:00:00
358,2,4,6,2013-10-24 00:00:00
359,8,4,4,2013-10-25 00:00:00
360,5,8,4,2013-10-26 00:00:00
361,3,2,5,2013-10-27 00:00:00
362,10,4,6,2013-10-28 00:00:00
363,6,8,4,2013-10-29 00:00:00
364,9,9,6,2013-10-30 00:00:00
365,3,4,7,2013-10-31 00:00:00
